dataset,algorithm,number_of_classes,number_of_categories,train_size,test_size,cv_idx,accuracy,precision,recall,f1,auc,train_time,pred_time
heart,LVQ2,2,0,243,27,10,0.9629629629629629,0.9658119658119658,0.9629629629629629,0.9630651340996169,0.9666666666666667,0.29935717582702637,0.0012755393981933594
heart,LVQ2.1,2,0,243,27,1,0.8148148148148148,0.8271604938271605,0.8148148148148148,0.8100048100048101,0.7999999999999999,0.332568883895874,0.0008933544158935547
heart,LVQ2.1,2,0,243,27,2,0.7777777777777778,0.7803921568627451,0.7777777777777778,0.774621212121212,0.7666666666666666,0.30644750595092773,0.001961231231689453
heart,LVQ2.1,2,0,243,27,3,0.7777777777777778,0.7875457875457875,0.7777777777777778,0.7783882783882783,0.7833333333333334,0.2804560661315918,0.0006766319274902344
heart,LVQ2.1,2,0,243,27,4,0.7777777777777778,0.7803921568627451,0.7777777777777778,0.774621212121212,0.7666666666666666,0.37522387504577637,0.001554727554321289
heart,LVQ2.1,2,0,243,27,5,0.8148148148148148,0.8150252525252526,0.8148148148148148,0.8137759077450523,0.8083333333333333,0.3472781181335449,0.0007195472717285156
heart,LVQ2.1,2,0,243,27,6,0.8888888888888888,0.9074074074074074,0.8888888888888888,0.886002886002886,0.875,0.3489718437194824,0.0017428398132324219
heart,LVQ2.1,2,0,243,27,7,0.8888888888888888,0.891941391941392,0.8888888888888888,0.8891954022988505,0.8916666666666666,0.34062886238098145,0.0011861324310302734
heart,LVQ2.1,2,0,243,27,8,0.8888888888888888,0.891941391941392,0.8888888888888888,0.8891954022988505,0.8916666666666666,0.37717652320861816,0.001756906509399414
heart,LVQ2.1,2,0,243,27,9,0.5925925925925926,0.5864197530864198,0.5925925925925926,0.5820105820105821,0.5750000000000001,0.3391604423522949,0.0012252330780029297
heart,LVQ2.1,2,0,243,27,10,1.0,1.0,1.0,1.0,1.0,0.35059261322021484,0.001438140869140625
heart,LVQ3,2,0,243,27,1,0.5925925925925926,0.5949494949494949,0.5925925925925926,0.5472531354884297,0.5583333333333335,0.3583528995513916,0.0014374256134033203
heart,LVQ3,2,0,243,27,2,0.8148148148148148,0.8150252525252526,0.8148148148148148,0.8137759077450523,0.8083333333333333,0.3243999481201172,0.002569913864135742
heart,LVQ3,2,0,243,27,3,0.7777777777777778,0.7875457875457875,0.7777777777777778,0.7783882783882783,0.7833333333333334,0.32726526260375977,0.0005903244018554688
heart,LVQ3,2,0,243,27,4,0.7407407407407407,0.7592592592592593,0.7407407407407407,0.7407407407407407,0.7500000000000002,0.33559250831604004,0.0007839202880859375
heart,LVQ3,2,0,243,27,5,0.7407407407407407,0.7592592592592593,0.7407407407407407,0.7407407407407407,0.7500000000000002,0.32690906524658203,0.0007238388061523438
heart,LVQ3,2,0,243,27,6,0.7777777777777778,0.7982456140350878,0.7777777777777778,0.7686274509803921,0.7583333333333334,0.39636898040771484,0.0009496212005615234
heart,LVQ3,2,0,243,27,7,0.7777777777777778,0.8106060606060607,0.7777777777777778,0.7765567765567765,0.7916666666666667,0.29531097412109375,0.0008630752563476562
heart,LVQ3,2,0,243,27,8,0.7407407407407407,0.7469135802469137,0.7407407407407407,0.734006734006734,0.7250000000000001,0.3356478214263916,0.0006093978881835938
heart,LVQ3,2,0,243,27,9,0.6296296296296297,0.6286549707602339,0.6296296296296297,0.6143790849673203,0.6083333333333334,0.36487436294555664,0.0015125274658203125
heart,LVQ3,2,0,243,27,10,0.7407407407407407,0.7592592592592593,0.7407407407407407,0.7407407407407407,0.7500000000000002,0.35817575454711914,0.0015625953674316406
heart,NB,2,0,243,27,1,0.8518518518518519,0.8830409356725147,0.8518518518518519,0.8457516339869281,0.8333333333333333,0.026589632034301758,0.012933492660522461
heart,NB,2,0,243,27,2,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9249999999999999,0.021930217742919922,0.011643648147583008
