dataset,algorithm,number_of_classes,number_of_categories,train_size,test_size,cv_idx,accuracy,precision,recall,f1,auc,train_time,pred_time
cleveland,SEVQ,5,218,268,29,2,0.3448275862068966,0.4103448275862069,0.3448275862068966,0.36632333184057325,0.5258351293103448,0.13848590850830078,0.0010437965393066406
cleveland,SEVQ,5,204,267,30,3,0.3,0.3165079365079365,0.3,0.30333333333333334,0.46695261437908503,0.12165379524230957,0.0010733604431152344
cleveland,SEVQ,5,210,268,29,4,0.3103448275862069,0.21724137931034482,0.3103448275862069,0.25557809330628806,0.4494560755336618,0.22496247291564941,0.0010385513305664062
cleveland,SEVQ,5,201,267,30,5,0.16666666666666666,0.23333333333333334,0.16666666666666666,0.19444444444444445,0.4451289682539683,0.19403314590454102,0.0010547637939453125
cleveland,SEVQ,5,204,267,30,6,0.36666666666666664,0.3581699346405229,0.36666666666666664,0.36132756132756133,0.5012326388888889,0.15052008628845215,0.0011806488037109375
cleveland,SEVQ,5,206,267,30,7,0.36666666666666664,0.3886507936507936,0.36666666666666664,0.3731481481481482,0.543125,0.12014126777648926,0.0010807514190673828
cleveland,SEVQ,5,219,269,28,8,0.42857142857142855,0.46397174254317114,0.42857142857142855,0.4380131362889984,0.574693080357143,0.15121078491210938,0.001071929931640625
cleveland,SEVQ,5,218,266,31,9,0.3225806451612903,0.3528801843317972,0.3225806451612903,0.33204594572960866,0.49894449715370015,0.1375288963317871,0.0015759468078613281
cleveland,SEVQ,5,214,267,30,10,0.36666666666666664,0.5659788359788359,0.36666666666666664,0.4079059829059829,0.6444730392156862,0.19084763526916504,0.0011072158813476562
cleveland,SVC,5,0,267,30,1,0.5666666666666667,0.32111111111111107,0.5666666666666667,0.4099290780141844,0.5,0.004203319549560547,0.0004608631134033203
cleveland,SVC,5,0,268,29,2,0.5517241379310345,0.30439952437574314,0.5517241379310345,0.39233716475095787,0.5,0.006028175354003906,0.0005164146423339844
cleveland,SVC,5,0,267,30,3,0.5666666666666667,0.32111111111111107,0.5666666666666667,0.4099290780141844,0.5,0.0057942867279052734,0.0004966259002685547
cleveland,SVC,5,0,268,29,4,0.4827586206896552,0.23305588585017836,0.4827586206896552,0.3143544506816359,0.5,0.003835916519165039,0.00048422813415527344
cleveland,SVC,5,0,267,30,5,0.4666666666666667,0.21777777777777776,0.4666666666666667,0.29696969696969694,0.5,0.004475831985473633,0.00048422813415527344
cleveland,SVC,5,0,267,30,6,0.5333333333333333,0.28444444444444444,0.5333333333333333,0.37101449275362325,0.5,0.0044100284576416016,0.0004975795745849609
cleveland,SVC,5,0,267,30,7,0.5333333333333333,0.28444444444444444,0.5333333333333333,0.37101449275362325,0.5,0.004060506820678711,0.0005025863647460938
cleveland,SVC,5,0,269,28,8,0.5714285714285714,0.32653061224489793,0.5714285714285714,0.4155844155844156,0.5,0.004779815673828125,0.0005011558532714844
cleveland,SVC,5,0,266,31,9,0.5483870967741935,0.3007284079084287,0.5483870967741935,0.38844086021505375,0.5,0.0046808719635009766,0.0005350112915039062
cleveland,SVC,5,0,267,30,10,0.5666666666666667,0.32111111111111107,0.5666666666666667,0.4099290780141844,0.5,0.004832267761230469,0.0005104541778564453
cleveland,XGB,5,0,267,30,1,0.5333333333333333,0.5602777777777778,0.5333333333333333,0.5400183150183151,0.619046160130719,0.3544745445251465,0.0005688667297363281
cleveland,XGB,5,0,268,29,2,0.6551724137931034,0.6442866801893171,0.6551724137931034,0.6410036323829427,0.6924030172413793,0.3430171012878418,0.0005857944488525391
cleveland,XGB,5,0,267,30,3,0.6,0.575925925925926,0.6,0.581984126984127,0.6409926470588236,0.5191526412963867,0.0005729198455810547
cleveland,XGB,5,0,268,29,4,0.5862068965517241,0.37661169415292356,0.5862068965517241,0.4572848710779745,0.6135057471264369,0.45290541648864746,0.0005700588226318359
cleveland,XGB,5,0,267,30,5,0.5,0.43529411764705883,0.5,0.4623997269158559,0.6316567460317459,0.4321446418762207,0.0005981922149658203
cleveland,XGB,5,0,267,30,6,0.5333333333333333,0.3710144927536232,0.5333333333333333,0.4376068376068376,0.5596180555555555,0.4378516674041748,0.0005819797515869141
cleveland,XGB,5,0,267,30,7,0.5666666666666667,0.4666666666666667,0.5666666666666667,0.5111111111111112,0.6117274305555556,0.3975028991699219,0.0005810260772705078
cleveland,XGB,5,0,269,28,8,0.6071428571428571,0.6095238095238095,0.6071428571428571,0.6042626728110599,0.6906343005952382,0.2820162773132324,0.0005767345428466797
cleveland,XGB,5,0,266,31,9,0.5806451612903226,0.5741935483870968,0.5806451612903226,0.5770609318996416,0.6354146900695763,0.2911980152130127,0.0006201267242431641
cleveland,XGB,5,0,267,30,10,0.6666666666666666,0.7061111111111111,0.6666666666666666,0.6326826826826827,0.7438357843137255,0.45828700065612793,0.0005860328674316406
coil2000,AB,2,0,8839,983,1,0.9389623601220752,0.8835042981189385,0.9389623601220752,0.9103895285968495,0.49945887445887444,0.9206130504608154,0.02152729034423828
coil2000,AB,2,0,8839,983,2,0.9399796541200407,0.8835617501596313,0.9399796541200407,0.910897955329751,0.5,1.214726448059082,0.020920991897583008
coil2000,AB,2,0,8840,982,3,0.939918533604888,0.905840713364913,0.939918533604888,0.9137008559066516,0.5075384385729212,0.9361176490783691,0.020315885543823242
coil2000,AB,2,0,8840,982,4,0.9419551934826884,0.9264895459087547,0.9419551934826884,0.9166262506216802,0.5167002537692192,1.1768851280212402,0.019652605056762695
coil2000,AB,2,0,8840,982,5,0.9419551934826884,0.9264895459087547,0.9419551934826884,0.9166262506216802,0.5167002537692192,0.9725003242492676,0.02028822898864746
coil2000,AB,2,0,8840,982,6,0.9409368635437881,0.8853621811756214,0.9409368635437881,0.9123039474443443,0.5,1.3533580303192139,0.026012659072875977
coil2000,AB,2,0,8840,982,7,0.9419551934826884,0.9453312689637974,0.9419551934826884,0.915705198154007,0.5169491525423728,1.2425668239593506,0.02497076988220215
coil2000,AB,2,0,8840,982,8,0.9368635437881874,0.8832738007318661,0.9368635437881874,0.9092797591130358,0.49837486457204766,0.9362003803253174,0.021594524383544922
coil2000,AB,2,0,8840,982,9,0.9358452138492872,0.8832158817820983,0.9358452138492872,0.9087692081882083,0.4978331527627302,1.0800774097442627,0.021669626235961914
coil2000,AB,2,0,8840,982,10,0.939918533604888,0.9151787387702572,0.939918533604888,0.9145616394143539,0.5158657289237379,1.0433807373046875,0.021142959594726562
coil2000,DT,2,0,8839,983,1,0.9369277721261444,0.8833890422903649,0.9369277721261444,0.9093710729459638,0.49837662337662336,0.08597779273986816,0.0006117820739746094
coil2000,DT,2,0,8839,983,2,0.940996948118006,0.9221688957679322,0.940996948118006,0.9169426183607126,0.5243414777313082,0.0819094181060791,0.0007746219635009766
coil2000,DT,2,0,8840,982,3,0.9378818737270875,0.8851918808210715,0.9378818737270875,0.9107754611916226,0.49837662337662336,0.07132673263549805,0.000339508056640625
coil2000,DT,2,0,8840,982,4,0.939918533604888,0.905840713364913,0.939918533604888,0.9137008559066516,0.5075384385729212,0.05934953689575195,0.0006806850433349609
coil2000,DT,2,0,8840,982,5,0.9409368635437881,0.915740471341286,0.9409368635437881,0.91424264206701,0.5080795641140469,0.138444185256958,0.00041961669921875
coil2000,DT,2,0,8840,982,6,0.9389002036659878,0.9066363950007236,0.9389002036659878,0.9149145138814451,0.5150768771458427,0.11127305030822754,0.0006139278411865234
coil2000,DT,2,0,8840,982,7,0.9389002036659878,0.9042610364150903,0.9389002036659878,0.9122062184964862,0.5073911526525515,0.1974048614501953,0.0020952224731445312
coil2000,DT,2,0,8840,982,8,0.9409368635437881,0.9444288736502716,0.9409368635437881,0.9132892770142681,0.5084745762711864,0.05205726623535156,0.0003762245178222656
coil2000,DT,2,0,8840,982,9,0.929735234215886,0.8828658654128217,0.929735234215886,0.9056945869986942,0.4945828819068256,0.17296791076660156,0.0007312297821044922
coil2000,DT,2,0,8840,982,10,0.9389002036659878,0.9134913773956104,0.9389002036659878,0.9172426840235178,0.5311897460381586,0.11301040649414062,0.0005247592926025391
coil2000,GNB,2,0,8839,983,1,0.17192268565615462,0.9195465821563727,0.17192268565615462,0.21152428973222637,0.5357234573336269,0.021370887756347656,0.0013802051544189453
coil2000,GNB,2,0,8839,983,2,0.15971515768056968,0.9345223038540811,0.15971515768056968,0.18914491890266155,0.5450968523002421,0.057204484939575195,0.0019223690032958984
coil2000,GNB,2,0,8840,982,3,0.18329938900203666,0.9157283982762311,0.18329938900203666,0.2319775178774162,0.5336990595611285,0.034711599349975586,0.0015571117401123047
coil2000,GNB,2,0,8840,982,4,0.1690427698574338,0.9199178469793169,0.1690427698574338,0.20825697140725213,0.5342028660994178,0.030059814453125,0.001184225082397461
coil2000,GNB,2,0,8840,982,5,0.1934826883910387,0.924330615408698,0.1934826883910387,0.24642405801323364,0.5471898790864308,0.030212879180908203,0.0058057308197021484
coil2000,GNB,2,0,8840,982,6,0.15071283095723015,0.9344919841962356,0.15071283095723015,0.17565617982044185,0.5406217345872518,0.016207218170166016,0.0014636516571044922
coil2000,GNB,2,0,8840,982,7,0.18737270875763748,0.9365933020833539,0.18737270875763748,0.2332056669949685,0.5597811117028114,0.03666567802429199,0.002077341079711914
coil2000,GNB,2,0,8840,982,8,0.1425661914460285,0.8828605379061208,0.1425661914460285,0.16768826991768987,0.4962814697834989,0.018342256546020508,0.0015783309936523438
coil2000,GNB,2,0,8840,982,9,0.15682281059063136,0.9248086989562657,0.15682281059063136,0.18568998349058274,0.5355968929614191,0.01816082000732422,0.0019240379333496094
coil2000,GNB,2,0,8840,982,10,0.17006109979633402,0.9270706460124607,0.17006109979633402,0.20716219936051578,0.5426391464825459,0.02544093132019043,0.022551774978637695
coil2000,KNN,2,0,8839,983,1,0.9237029501525941,0.8868179313147925,0.9237029501525941,0.9042180979073208,0.4992754420720522,0.0005631446838378906,0.22562694549560547
coil2000,KNN,2,0,8839,983,2,0.9277721261444557,0.8954350029956585,0.9277721261444557,0.9093264660189304,0.5173068456966763,0.0009584426879882812,0.24087762832641602
coil2000,KNN,2,0,8840,982,3,0.9348268839103869,0.9023505574569046,0.9348268839103869,0.9142042970481796,0.5209919390953873,0.0007398128509521484,0.42584943771362305
coil2000,KNN,2,0,8840,982,4,0.9256619144602851,0.8955227088938792,0.9256619144602851,0.9089832066338914,0.5161218092252575,0.0007905960083007812,0.21860694885253906
coil2000,KNN,2,0,8840,982,5,0.9378818737270875,0.9121883835206617,0.9378818737270875,0.9189348815724626,0.5387744439468578,0.0006821155548095703,0.33321166038513184
coil2000,KNN,2,0,8840,982,6,0.9389002036659878,0.9183833671837661,0.9389002036659878,0.9234685534991124,0.5635542618301239,0.0007894039154052734,0.5818037986755371
coil2000,KNN,2,0,8840,982,7,0.9287169042769857,0.8882808711931057,0.9287169042769857,0.9068124646263709,0.5019740345593771,0.0007786750793457031,0.3926377296447754
coil2000,KNN,2,0,8840,982,8,0.9236252545824847,0.898381029106472,0.9236252545824847,0.9094702357107203,0.5309969333602659,0.0005776882171630859,0.3038818836212158
coil2000,KNN,2,0,8840,982,9,0.9307535641547862,0.9004848628560043,0.9307535641547862,0.9123899004562046,0.526856051563619,0.0005440711975097656,0.2328662872314453
coil2000,KNN,2,0,8840,982,10,0.9307535641547862,0.9030237336493679,0.9307535641547862,0.9137323884188443,0.534788916025488,0.0005650520324707031,0.2786383628845215
coil2000,MLP,2,0,8839,983,1,0.9399796541200407,0.8835617501596313,0.9399796541200407,0.910897955329751,0.5,5.605265140533447,0.0015358924865722656
coil2000,MLP,2,0,8839,983,2,0.9399796541200407,0.8835617501596313,0.9399796541200407,0.910897955329751,0.5,5.075523614883423,0.0016324520111083984
coil2000,MLP,2,0,8840,982,3,0.9409368635437881,0.8853621811756214,0.9409368635437881,0.9123039474443443,0.5,4.964165925979614,0.0012581348419189453
coil2000,MLP,2,0,8840,982,4,0.9409368635437881,0.8853621811756214,0.9409368635437881,0.9123039474443443,0.5,8.807493686676025,0.0013833045959472656
coil2000,MLP,2,0,8840,982,5,0.9409368635437881,0.8853621811756214,0.9409368635437881,0.9123039474443443,0.5,4.178351402282715,0.0014455318450927734
coil2000,MLP,2,0,8840,982,6,0.9409368635437881,0.8853621811756214,0.9409368635437881,0.9123039474443443,0.5,5.074079275131226,0.0013890266418457031
coil2000,MLP,2,0,8840,982,7,0.939918533604888,0.8834468498139629,0.939918533604888,0.9108081958186999,0.5,5.247324466705322,0.002295255661010742
coil2000,MLP,2,0,8840,982,8,0.939918533604888,0.8834468498139629,0.939918533604888,0.9108081958186999,0.5,5.436434984207153,0.001367807388305664
coil2000,MLP,2,0,8840,982,9,0.939918533604888,0.8834468498139629,0.939918533604888,0.9108081958186999,0.5,5.166891574859619,0.0013527870178222656
