AEE,ARF,DWM,EFDT,EVQ,HAT,HT,KNNI,LVQ,LVQ2,LVQ2.1,LVQ3,NB,OB,SEVQ,SFAM
0.6190284332911247,0.9053758489697248,0.5876885000575572,0.7172067457119834,0.8040606653620354,0.8152699435938761,0.7427333947277541,0.9023397030044894,0.5,0.5367790951997238,0.5500892137676989,0.5,0.6177046160930125,0.910354552780016,0.8816334753079312,0.8749424427305168
0.5738171981121216,0.8911304247726488,0.5829256360078278,0.7018101761252445,0.8140900195694716,0.7331069414066996,0.7021986876942558,0.9056060780476576,0.5651116611027973,0.5637878439046852,0.5252100840336135,0.5,0.5738171981121216,0.9021814205134108,0.8570421319212617,0.8582076666282952
0.5627662023713595,0.8847559571773914,0.5684499827328191,0.6734776102221709,0.8067946356624841,0.6791757799010015,0.6828162771958101,0.8705105329803154,0.5549240244042822,0.4982157246460228,0.5613848279037643,0.5,0.5627662023713595,0.8747122136525844,0.8600063312996431,0.858682514101531
0.5629244848624381,0.8922240128928284,0.5735150224473351,0.7123863243927708,0.7754978703810291,0.7465465638310119,0.7310636583400484,0.8912887072637274,0.5218429837688501,0.4741423966847013,0.5239582134223553,0.5,0.5629244848624381,0.8968142051341085,0.8835040865661333,0.8782088177736849
0.6199637389202256,0.9248302060550248,0.5960774720847244,0.7364308737193507,0.8079457810521469,0.7333947277541154,0.7617992402440427,0.9048290549096348,0.5540606653620352,0.5425348221480373,0.5644929204558535,0.5,0.6199637389202256,0.8968142051341085,0.8766547714976402,0.8793024058938644
0.5781771612754691,0.8964256935650973,0.6041786577644757,0.7065586508576033,0.7553384367445609,0.7719293196730748,0.7027454817543456,0.8994618395303327,0.5486934499827328,0.5395850120870266,0.5370956601818809,0.5,0.5781771612754691,0.8960371819960861,0.8503510993438471,0.8516749165419593
0.4833333333333334,0.5416666666666666,0.5499999999999999,0.5,0.4249999999999999,0.5,0.5,0.55,0.4833333333333333,0.45,0.5416666666666666,0.5666666666666667,0.5499999999999999,0.5166666666666667,0.6,0.6
0.6833333333333335,0.475,0.5916666666666668,0.5,0.4833333333333333,0.5,0.5,0.6166666666666667,0.6083333333333334,0.5833333333333333,0.6166666666666667,0.7416666666666667,0.5,0.5666666666666667,0.6833333333333335,0.6833333333333335
0.44166666666666665,0.6062500000000001,0.4833333333333333,0.5,0.5416666666666667,0.5,0.5,0.5104166666666667,0.5354166666666667,0.7041666666666666,0.46875,0.5791666666666667,0.4875,0.5770833333333333,0.4833333333333333,0.5416666666666667
0.5894736842105263,0.5666666666666667,0.6087719298245613,0.5,0.656140350877193,0.5,0.5,0.5228070175438597,0.6280701754385964,0.6298245614035087,0.5666666666666667,0.5964912280701755,0.6035087719298246,0.5228070175438597,0.6298245614035087,0.5105263157894737
0.5786713286713286,0.5541958041958042,0.6958041958041958,0.5,0.5332167832167831,0.5,0.5,0.6555944055944056,0.5384615384615384,0.5559440559440559,0.4702797202797203,0.4195804195804196,0.7412587412587412,0.6940559440559442,0.6940559440559442,0.7097902097902098
0.6346153846153846,0.6241258741258742,0.4982517482517482,0.5,0.5419580419580419,0.5,0.5,0.5716783216783217,0.5541958041958042,0.6416083916083916,0.6153846153846154,0.6101398601398601,0.4982517482517482,0.5716783216783217,0.5262237762237763,0.5804195804195804
0.7142857142857143,0.5833333333333333,0.6547619047619048,0.5,0.42857142857142855,0.5,0.5,0.5833333333333333,0.42857142857142855,0.6547619047619047,0.4761904761904762,0.4880952380952381,0.6547619047619048,0.6547619047619047,0.5714285714285714,0.6785714285714285
0.6333333333333334,0.6166666666666667,0.475,0.5,0.475,0.5750000000000001,0.5,0.6000000000000001,0.5916666666666668,0.675,0.5666666666666667,0.4833333333333334,0.6083333333333334,0.575,0.43333333333333335,0.4916666666666667
